match_id,season,round_number,total_score,temperature,match_title,home_away,behinds,goals,ratio,score,scorediff,team
CD_M20172640101,2017,1,57,18,Carlton vs Collingwood,away,5,1,0.2,11,-35,Collingwood
CD_M20172640101,2017,1,57,18,Carlton vs Collingwood,home,4,7,1.75,46,35,Carlton
CD_M20172640102,2017,1,60,18,Adelaide Crows vs GWS Giants,away,6,1,0.166666666666667,12,-36,GWS Giants
CD_M20172640102,2017,1,60,18,Adelaide Crows vs GWS Giants,home,6,7,1.16666666666667,48,36,Adelaide Crows
CD_M20172640103,2017,1,56,18,Western Bulldogs vs Fremantle,away,6,1,0.166666666666667,12,-32,Fremantle
CD_M20172640103,2017,1,56,18,Western Bulldogs vs Fremantle,home,8,6,0.75,44,32,Western Bulldogs
CD_M20172640104,2017,1,35,18,Melbourne vs Brisbane Lions,away,1,4,4,25,15,Brisbane Lions
CD_M20172640104,2017,1,35,18,Melbourne vs Brisbane Lions,home,4,1,0.25,10,-15,Melbourne
CD_M20172640201,2017,2,71,18,Western Bulldogs vs Adelaide Crows,away,6,7,1.16666666666667,48,25,Adelaide Crows
CD_M20172640201,2017,2,71,18,Western Bulldogs vs Adelaide Crows,home,11,2,0.181818181818182,23,-25,Western Bulldogs
CD_M20172640202,2017,2,81,18,Carlton vs GWS Giants,away,4,5,1.25,34,-13,GWS Giants
CD_M20172640202,2017,2,81,18,Carlton vs GWS Giants,home,5,7,1.4,47,13,Carlton
CD_M20172640203,2017,2,69,18,Collingwood vs Melbourne,away,2,7,3.5,44,19,Melbourne
CD_M20172640203,2017,2,69,18,Collingwood vs Melbourne,home,1,4,4,25,-19,Collingwood
CD_M20172640204,2017,2,59,18,Fremantle vs Brisbane Lions,away,6,5,0.833333333333333,36,13,Brisbane Lions
CD_M20172640204,2017,2,59,18,Fremantle vs Brisbane Lions,home,5,3,0.6,23,-13,Fremantle
CD_M20172640301,2017,3,86,18,GWS Giants vs Fremantle,away,7,6,0.857142857142857,43,0,Fremantle
CD_M20172640301,2017,3,86,18,GWS Giants vs Fremantle,home,1,7,7,43,0,GWS Giants
CD_M20172640302,2017,3,50,18,Brisbane Lions vs Collingwood,away,5,3,0.6,23,-4,Collingwood
CD_M20172640302,2017,3,50,18,Brisbane Lions vs Collingwood,home,3,4,1.33333333333333,27,4,Brisbane Lions
CD_M20172640303,2017,3,72,18,Western Bulldogs vs Melbourne,away,7,6,0.857142857142857,43,14,Melbourne
CD_M20172640303,2017,3,72,18,Western Bulldogs vs Melbourne,home,5,4,0.8,29,-14,Western Bulldogs
CD_M20172640304,2017,3,31,21,Adelaide Crows vs Carlton,away,2,2,1,14,-3,Carlton
CD_M20172640304,2017,3,31,21,Adelaide Crows vs Carlton,home,5,2,0.4,17,3,Adelaide Crows
CD_M20172640401,2017,4,78,18,Melbourne vs Carlton,away,6,5,0.833333333333333,36,-6,Carlton
CD_M20172640401,2017,4,78,18,Melbourne vs Carlton,home,6,6,1,42,6,Melbourne
CD_M20172640402,2017,4,52,18,Brisbane Lions vs GWS Giants,away,3,1,0.333333333333333,9,-34,GWS Giants
CD_M20172640402,2017,4,52,18,Brisbane Lions vs GWS Giants,home,7,6,0.857142857142857,43,34,Brisbane Lions
CD_M20172640403,2017,4,57,18,Western Bulldogs vs Collingwood,away,2,5,2.5,32,7,Collingwood
CD_M20172640403,2017,4,57,18,Western Bulldogs vs Collingwood,home,7,3,0.428571428571429,25,-7,Western Bulldogs
CD_M20172640404,2017,4,69,18,Fremantle vs Adelaide Crows,away,10,6,0.6,46,23,Adelaide Crows
CD_M20172640404,2017,4,69,18,Fremantle vs Adelaide Crows,home,5,3,0.6,23,-23,Fremantle
CD_M20172640501,2017,5,35,18,GWS Giants vs Melbourne,away,9,1,0.111111111111111,15,-5,Melbourne
CD_M20172640501,2017,5,35,18,GWS Giants vs Melbourne,home,2,3,1.5,20,5,GWS Giants
CD_M20172640502,2017,5,102,28,Carlton vs Western Bulldogs,away,6,7,1.16666666666667,48,-6,Western Bulldogs
CD_M20172640502,2017,5,102,28,Carlton vs Western Bulldogs,home,6,8,1.33333333333333,54,6,Carlton
CD_M20172640503,2017,5,63,18,Fremantle vs Collingwood,away,2,5,2.5,32,1,Collingwood
CD_M20172640503,2017,5,63,18,Fremantle vs Collingwood,home,7,4,0.571428571428571,31,-1,Fremantle
CD_M20172640504,2017,5,63,33,Adelaide Crows vs Brisbane Lions,away,3,5,1.66666666666667,33,3,Brisbane Lions
CD_M20172640504,2017,5,63,33,Adelaide Crows vs Brisbane Lions,home,6,4,0.666666666666667,30,-3,Adelaide Crows
CD_M20172640601,2017,6,70,32,Fremantle vs Carlton,away,3,4,1.33333333333333,27,-16,Carlton
CD_M20172640601,2017,6,70,32,Fremantle vs Carlton,home,7,6,0.857142857142857,43,16,Fremantle
CD_M20172640602,2017,6,39,31,Brisbane Lions vs Western Bulldogs,away,4,2,0.5,16,-7,Western Bulldogs
CD_M20172640602,2017,6,39,31,Brisbane Lions vs Western Bulldogs,home,11,2,0.181818181818182,23,7,Brisbane Lions
CD_M20172640603,2017,6,66,33,Adelaide Crows vs Melbourne,away,4,5,1.25,34,2,Melbourne
CD_M20172640603,2017,6,66,33,Adelaide Crows vs Melbourne,home,2,5,2.5,32,-2,Adelaide Crows
CD_M20172640604,2017,6,74,29,Collingwood vs GWS Giants,away,1,3,3,19,-36,GWS Giants
CD_M20172640604,2017,6,74,29,Collingwood vs GWS Giants,home,13,7,0.538461538461538,55,36,Collingwood
CD_M20172640701,2017,7,86,18,Melbourne vs Fremantle,away,4,2,0.5,16,-54,Fremantle
CD_M20172640701,2017,7,86,18,Melbourne vs Fremantle,home,4,11,2.75,70,54,Melbourne
CD_M20172640702,2017,7,72,18,GWS Giants vs Western Bulldogs,away,10,7,0.7,52,32,Western Bulldogs
CD_M20172640702,2017,7,72,18,GWS Giants vs Western Bulldogs,home,2,3,1.5,20,-32,GWS Giants
CD_M20172640703,2017,7,116,32,Collingwood vs Adelaide Crows,away,10,10,1,70,24,Adelaide Crows
CD_M20172640703,2017,7,116,32,Collingwood vs Adelaide Crows,home,4,7,1.75,46,-24,Collingwood
CD_M20172640704,2017,7,74,18,Carlton vs Brisbane Lions,away,7,5,0.714285714285714,37,0,Brisbane Lions
CD_M20172640704,2017,7,74,18,Carlton vs Brisbane Lions,home,1,6,6,37,0,Carlton
CD_M20172640801,2017,8,64,28,Brisbane Lions vs Adelaide Crows,away,11,4,0.363636363636364,35,6,Adelaide Crows
CD_M20172640801,2017,8,64,28,Brisbane Lions vs Adelaide Crows,home,5,4,0.8,29,-6,Brisbane Lions
CD_M20182640101,2018,1,36,18,Carlton vs Collingwood,away,2,2,1,14,-8,Collingwood
CD_M20182640101,2018,1,36,18,Carlton vs Collingwood,home,4,3,0.75,22,8,Carlton
CD_M20182640102,2018,1,84,18,Melbourne vs GWS Giants,away,3,6,2,39,-6,GWS Giants
CD_M20182640102,2018,1,84,18,Melbourne vs GWS Giants,home,3,7,2.33333333333333,45,6,Melbourne
CD_M20182640103,2018,1,50,18,Adelaide Crows vs Brisbane Lions,away,7,4,0.571428571428571,31,12,Brisbane Lions
CD_M20182640103,2018,1,50,18,Adelaide Crows vs Brisbane Lions,home,1,3,3,19,-12,Adelaide Crows
CD_M20182640104,2018,1,72,18,Western Bulldogs vs Fremantle,away,5,3,0.6,23,-26,Fremantle
CD_M20182640104,2018,1,72,18,Western Bulldogs vs Fremantle,home,7,7,1,49,26,Western Bulldogs
CD_M20182640201,2018,2,39,18,GWS Giants vs Carlton,away,12,3,0.25,30,21,Carlton
CD_M20182640201,2018,2,39,18,GWS Giants vs Carlton,home,3,1,0.333333333333333,9,-21,GWS Giants
CD_M20182640202,2018,2,80,18,Melbourne vs Adelaide Crows,away,0,4,Inf,24,-32,Adelaide Crows
CD_M20182640202,2018,2,80,18,Melbourne vs Adelaide Crows,home,8,8,1,56,32,Melbourne
CD_M20182640203,2018,2,67,18,Fremantle vs Collingwood,away,3,4,1.33333333333333,27,-13,Collingwood
CD_M20182640203,2018,2,67,18,Fremantle vs Collingwood,home,4,6,1.5,40,13,Fremantle
CD_M20182640204,2018,2,57,18,Brisbane Lions vs Western Bulldogs,away,3,5,1.66666666666667,33,9,Western Bulldogs
CD_M20182640204,2018,2,57,18,Brisbane Lions vs Western Bulldogs,home,6,3,0.5,24,-9,Brisbane Lions
CD_M20182640301,2018,3,75,18,Adelaide Crows vs Western Bulldogs,away,4,5,1.25,34,-7,Western Bulldogs
CD_M20182640301,2018,3,75,18,Adelaide Crows vs Western Bulldogs,home,5,6,1.2,41,7,Adelaide Crows
CD_M20182640302,2018,3,58,18,Carlton vs Brisbane Lions,away,4,6,1.5,40,22,Brisbane Lions
CD_M20182640302,2018,3,58,18,Carlton vs Brisbane Lions,home,6,2,0.333333333333333,18,-22,Carlton
